Date,Open,High,Low,Close,Adj. Close,Change,Volume
2019-08-21,43.85000,44.24000,43.24000,43.28000,32.32600,0.28%,4398365
2019-08-22,43.32000,43.90000,42.02000,42.05000,31.40800,-2.84%,6074608
2019-08-23,42.00000,42.02000,40.44000,40.71000,30.40700,-3.19%,6718214
2019-08-26,41.27000,41.35000,40.61000,40.82000,30.48900,0.27%,3404507
2019-08-27,41.19000,41.73000,40.91900,41.17000,30.75000,0.86%,4153371
2019-08-28,41.15000,42.64000,40.76000,42.52000,31.75900,3.28%,4631788
2019-08-29,42.33000,43.00000,42.21000,42.37000,32.16900,-0.35%,3296607
2019-08-30,42.83000,43.00000,42.27000,42.63000,32.36700,0.61%,4105361
2019-09-03,42.14000,42.23000,41.15000,41.80000,31.73700,-1.95%,3360300
2019-09-04,42.59000,42.79000,41.85000,42.54000,32.29800,1.77%,2654555
2019-09-05,43.15000,43.97000,43.09000,43.36000,32.92100,1.93%,4044431
2019-09-06,43.54000,43.66000,42.66000,43.24000,32.83000,-0.28%,3217871
2019-09-09,43.53000,44.62700,43.26000,44.45000,33.74900,2.80%,3639259
2019-09-10,45.10000,46.37000,44.78000,46.32000,35.16800,4.21%,4702818
2019-09-11,46.52000,47.05000,45.58000,46.88000,35.59400,1.21%,4444423
2019-09-12,47.07000,47.19000,45.57000,46.97000,35.66200,0.19%,3649669
2019-09-13,47.64000,48.44000,47.25000,48.20000,36.59600,2.62%,4027252
2019-09-16,48.69000,49.98000,48.28000,49.01000,37.21100,1.68%,5040105
2019-09-17,48.67000,49.09000,47.61000,48.00000,36.44400,-2.06%,4921408
2019-09-18,47.90000,47.90000,47.02000,47.51000,36.07200,-1.02%,2592233
2019-09-19,48.12000,48.41000,47.49000,47.64000,36.17100,0.27%,2536357
2019-09-20,47.47000,48.85000,47.07000,48.21000,36.60300,1.20%,10589641
2019-09-23,47.39000,48.21500,47.12000,47.91000,36.37600,-0.62%,3606911
2019-09-24,47.78000,48.00000,45.95000,46.60000,35.38100,-2.73%,4523839
2019-09-25,46.55000,47.97000,46.13000,47.68000,36.20100,2.32%,4415701
2019-09-26,47.51000,47.69000,46.93400,47.23000,35.85900,-0.94%,2998577
2019-09-27,47.40000,47.88000,47.01000,47.07000,35.73800,-0.34%,3725668
2019-09-30,47.26000,47.79000,47.11000,47.65000,36.17800,1.23%,2568066
2019-10-01,47.94000,48.57000,45.90000,45.97000,34.90300,-3.53%,3844516
