Date,Open,High,Low,Close,Adj. Close,Change,Volume
2020-11-09,46.50000,46.50000,43.08300,43.22700,40.72800,-2.64%,3042333
2020-11-10,43.09000,43.32700,42.01700,42.37700,39.92700,-1.97%,3720021
2020-11-11,42.53000,43.77300,42.51000,43.26300,40.76200,2.09%,1977003
2020-11-12,43.42300,43.42500,42.15200,42.28300,39.83900,-2.27%,1894482
2020-11-13,42.48300,42.73700,41.77000,41.94000,39.51500,-0.81%,2319891
2020-11-16,42.18700,42.18700,41.37700,41.84300,39.42400,-0.23%,3278829
2020-11-17,41.96300,42.01700,41.21800,41.44300,39.04700,-0.96%,2975481
2020-11-18,41.34300,41.38700,40.74300,40.91000,38.54500,-1.29%,3004062
2020-11-19,41.36700,42.23300,40.95300,41.58700,39.18200,1.65%,3334932
2020-11-20,41.73000,42.45700,41.55300,42.11000,39.67600,1.26%,2837562
2020-11-23,42.26700,42.49000,41.61300,42.00300,39.57500,-0.25%,2125491
2020-11-24,42.04300,42.57300,42.01700,42.42300,39.97100,1.00%,2728545
2020-11-25,42.39700,42.73500,42.34500,42.44300,39.99000,0.05%,2235924
2020-11-27,42.32300,42.50300,42.09300,42.37300,39.92400,-0.16%,1552938
2020-11-30,42.34000,42.76000,42.14300,42.66300,40.19700,0.68%,3112797
2020-12-01,42.44300,43.46500,42.44300,43.30300,40.80000,1.50%,2190522
2020-12-02,43.23700,43.33300,42.75000,43.12000,40.62700,-0.42%,1707966
2020-12-03,42.29000,42.34700,41.09000,41.63300,39.38000,-3.45%,5596983
2020-12-04,41.62000,42.33300,41.56000,41.76700,39.50600,0.32%,2550444
2020-12-07,41.82000,42.98700,41.81700,42.85300,40.53400,2.60%,5088153
2020-12-08,42.83300,43.06700,42.43300,42.88300,40.56300,0.07%,1864113
2020-12-09,42.96300,43.22000,41.36000,42.03300,39.75900,-1.98%,2914443
2020-12-10,41.91700,42.12000,41.54300,41.66300,39.40900,-0.88%,2107305
2020-12-11,41.52000,41.99000,41.33700,41.89000,39.62300,0.54%,1651716
2020-12-14,42.24000,42.70000,41.30000,41.34700,39.10900,-1.30%,1921797
2020-12-15,41.59700,42.79000,41.54800,42.43000,40.13400,2.62%,2555589
2020-12-16,42.63300,42.77000,42.23500,42.36700,40.07400,-0.15%,3331185
2020-12-17,42.61300,43.15700,42.43300,42.83300,40.51500,1.10%,3154239
2020-12-18,42.73000,43.21300,42.65000,42.86700,40.54700,0.08%,5128356
2020-12-21,42.60700,42.85500,41.42500,42.68300,40.37400,-0.43%,3337200
2020-12-22,42.34300,43.46000,42.24700,43.30000,40.95700,1.45%,3123543
2020-12-23,43.49700,43.58000,42.64700,42.65000,40.34200,-1.50%,1479507
2020-12-24,42.66000,42.91300,42.53000,42.87300,40.55300,0.52%,575487
2020-12-28,43.02700,43.07300,42.64000,42.95000,40.62600,0.18%,1373952
2020-12-29,43.21700,43.29000,42.96700,43.04700,40.71700,0.23%,910797
2020-12-30,43.26000,43.51000,43.15300,43.38000,41.03200,0.77%,1199061
2020-12-31,43.33300,44.29000,43.16000,44.24700,41.85200,2.00%,1534131
2021-01-04,44.57700,44.64300,43.56700,44.00300,41.62200,-0.55%,4331457
2021-01-05,44.09700,44.34700,43.84700,43.99000,41.60900,-0.03%,3305445
2021-01-06,44.11700,45.49700,43.97300,45.13300,42.69100,2.60%,3068307
2021-01-07,44.98000,45.62700,44.89000,45.60000,43.13200,1.03%,2645232
2021-01-08,45.14300,46.38000,45.14300,46.27000,43.76600,1.47%,2361216
2021-01-11,46.07000,47.29000,46.00000,46.96700,44.42500,1.51%,3387540
2021-01-12,46.99700,47.56000,46.95300,47.30700,44.74700,0.72%,2827761
2021-01-13,47.35700,47.83300,47.33300,47.49700,44.92600,0.40%,4243440
2021-01-14,47.74000,47.75700,46.93000,47.37700,44.81300,-0.25%,2877261
2021-01-15,47.14700,47.50700,46.46000,46.68000,44.15400,-1.47%,8262501
2021-01-19,47.40300,47.66700,46.74700,47.42000,44.85400,1.59%,2688879
2021-01-20,47.79300,48.10000,47.16700,47.89000,45.29800,0.99%,3800934
2021-01-21,48.03000,48.13300,46.81700,47.13300,44.58300,-1.58%,2078061
2021-01-22,47.09700,47.17500,46.40700,46.80700,44.27400,-0.69%,3380955
2021-01-25,46.84700,47.60700,46.57300,47.43300,44.86600,1.34%,2508399
2021-01-26,47.57700,47.77000,46.82800,47.04300,44.49800,-0.82%,2914596
2021-01-27,46.83000,47.88300,45.85000,47.06700,44.52000,0.05%,4776417
2021-01-28,47.12300,47.79000,46.32000,46.34300,43.83500,-1.54%,2939247
2021-01-29,46.03300,46.03300,44.73700,45.09000,42.65000,-2.70%,3366921
2021-02-01,45.51000,46.35700,45.16700,46.20300,43.70300,2.47%,2620071
2021-02-02,46.37700,47.70300,46.20300,47.53700,44.96400,2.89%,2701707
2021-02-03,47.42700,47.70000,47.00700,47.38700,44.82200,-0.32%,2638197
2021-02-04,47.55300,48.46700,47.43200,47.85700,45.26700,0.99%,2472438
2021-02-05,47.94000,48.17300,47.31700,47.53000,44.95800,-0.68%,2040381
2021-02-08,47.70000,47.94700,47.30700,47.48300,44.91400,-0.10%,1480161
2021-02-09,47.54700,47.99000,47.33800,47.71000,45.12800,0.48%,1261794
2021-02-10,48.00000,48.13000,47.04700,47.49000,44.92000,-0.46%,1529151
2021-02-11,47.68000,47.74700,47.20000,47.45700,44.88900,-0.07%,1398300
2021-02-12,47.50300,47.84500,47.27700,47.33000,44.76900,-0.27%,1454766
2021-02-16,47.68300,48.06300,47.13000,47.99700,45.39900,1.41%,2549694
2021-02-17,47.74000,48.37000,47.66700,48.23000,45.62000,0.49%,2334957
2021-02-18,48.09300,48.49000,47.87700,48.29300,45.68000,0.13%,2128941
2021-02-19,48.39700,48.61000,48.10000,48.14300,45.53800,-0.31%,2007453
2021-02-22,47.81300,47.81300,46.67000,47.20700,44.65200,-1.94%,2727399
2021-02-23,47.03700,47.12800,46.28700,46.78000,44.24800,-0.90%,2970300
2021-02-24,46.60300,47.40700,46.14000,47.33000,44.76900,1.18%,1826748
2021-02-25,47.36000,47.85000,46.72700,46.77300,44.24200,-1.18%,1936659
2021-02-26,46.81700,46.99300,45.93300,46.09700,43.60200,-1.45%,2813964
2021-03-01,46.56000,47.61700,46.46700,47.29000,44.73100,2.59%,2086602
