Date,Open,High,Low,Close,Adj. Close,Change,Volume
2010-10-18,107.62000,108.44000,107.44000,108.34000,83.41800,0.73%,22800
2010-10-19,107.14000,107.68000,106.02000,106.62000,82.09400,-1.59%,38500
2010-10-20,106.94000,108.16000,106.94000,107.76000,82.97100,1.07%,22800
2010-10-21,108.26000,108.75600,107.31000,107.92000,83.09400,0.15%,29400
2010-10-22,108.16000,108.20000,107.94000,108.18000,83.29500,0.24%,24800
2010-10-25,109.02000,109.28000,108.46000,108.50000,83.54100,0.30%,29600
2010-10-26,107.92000,108.55200,107.88000,108.48000,83.52600,-0.02%,15000
2010-10-27,107.74000,108.22000,107.22000,108.14000,83.26400,-0.31%,17100
2010-10-28,108.76000,108.82000,107.76000,108.22000,83.32500,0.07%,19200
2010-10-29,108.10000,108.42000,108.00000,108.30000,83.38700,0.07%,13400
2010-11-01,108.92000,109.42000,107.76000,108.36000,83.43300,0.06%,51500
2010-11-02,109.22000,109.42000,108.85800,109.20000,84.08000,0.78%,26100
2010-11-03,109.42000,109.66000,108.32000,109.66000,84.43400,0.42%,31800
2010-11-04,110.90000,111.80000,110.74000,111.72000,86.02000,1.88%,49000
2010-11-05,111.90000,112.30000,111.68000,112.16000,86.35900,0.39%,48300
2010-11-08,111.88000,112.08000,111.50000,112.02000,86.25100,-0.12%,43400
2010-11-09,112.18000,112.30000,110.79600,111.14000,85.57400,-0.79%,35700
2010-11-10,111.16000,111.60000,110.32000,111.56000,85.89700,0.38%,28200
2010-11-11,110.68000,111.28000,110.42400,111.20000,85.62000,-0.32%,24000
2010-11-12,110.40000,110.86000,109.38000,109.82000,84.55700,-1.24%,39400
2010-11-15,110.30000,110.52100,109.64000,109.72000,84.48000,-0.09%,202700
2010-11-16,109.02000,109.02000,107.47400,107.96000,83.12500,-1.60%,32800
2010-11-17,108.06000,108.45200,107.78000,108.04000,83.18700,0.07%,42400
2010-11-18,109.08000,109.92000,109.08000,109.64000,84.41900,1.48%,26100
2010-11-19,109.50000,109.94000,109.03400,109.90000,84.61900,0.24%,20200
2010-11-22,109.42000,109.80400,108.58000,109.80000,84.54200,-0.09%,25300
2010-11-23,108.56000,108.64000,107.92400,108.26000,83.35600,-1.40%,142400
2010-11-24,108.94000,109.77200,108.94000,109.65900,84.43300,1.29%,30100
2010-11-26,108.96000,109.40000,108.82000,109.04000,83.95700,-0.56%,32600
2010-11-29,108.36000,109.16000,107.66000,108.93400,83.87500,-0.10%,46000
2010-11-30,107.96000,108.86000,107.82000,108.18000,83.29500,-0.69%,91900
2010-12-01,109.92000,110.74000,109.88000,110.62000,85.17300,2.26%,33300
2010-12-02,110.74000,112.10000,110.74000,112.06000,86.28200,1.30%,60600
2010-12-03,111.66000,112.46000,111.64000,112.34000,86.49800,0.25%,184100
2010-12-06,112.16000,112.42000,112.00000,112.20000,86.39000,-0.12%,64100
2010-12-07,113.34000,113.38000,112.20200,112.24000,86.42100,0.04%,109000
2010-12-08,112.40000,112.74000,111.96000,112.70000,86.77500,0.41%,69000
2010-12-09,113.34000,113.34000,112.66800,113.12000,87.09800,0.37%,54800
2010-12-10,113.48000,113.88000,113.22000,113.80000,87.62200,0.60%,73900
2010-12-13,114.32000,114.44000,113.82000,113.86000,87.66800,0.05%,77000
2010-12-14,114.12000,114.36000,113.66000,113.92000,87.71400,0.05%,59600
2010-12-15,113.74000,114.20000,113.24000,113.42000,87.32900,-0.44%,43600
2010-12-16,113.56000,114.16000,113.12000,114.08000,87.83700,0.58%,60600
2010-12-17,114.00000,114.34000,113.82000,114.24000,87.96100,0.14%,59100
2010-12-20,114.58000,114.74000,113.96000,114.48000,88.14500,0.21%,72600
2010-12-21,114.86000,115.30000,114.78000,115.18000,88.68400,0.61%,76200
2010-12-22,115.34000,115.60000,115.24800,115.60000,89.00800,0.36%,108200
2010-12-23,115.44000,115.52000,115.15800,115.42000,88.86900,-0.16%,57400
2010-12-27,114.46000,115.02000,114.40000,114.98000,88.93500,-0.38%,71800
2010-12-28,115.22000,115.22000,114.80000,115.10000,89.02800,0.10%,56600
2010-12-29,115.32000,115.44000,115.20000,115.20000,89.10600,0.09%,53600
2010-12-30,115.12000,115.26000,114.87600,115.02000,88.96600,-0.16%,78900
2010-12-31,114.86000,115.14000,114.68000,115.14000,89.05900,0.10%,145700
2011-01-03,115.94000,116.66000,115.89800,116.22000,89.89500,0.94%,119200
2011-01-04,116.56000,116.56000,115.49900,116.12000,89.81700,-0.09%,108300
2011-01-05,115.86000,116.80000,115.72000,116.74000,90.29700,0.53%,717700
2011-01-06,116.84000,116.92000,116.22000,116.54000,90.14200,-0.17%,72400
2011-01-07,116.70000,116.86000,115.48000,116.30600,89.96100,-0.20%,82200
2011-01-10,115.88000,116.28000,115.48000,116.20000,89.87900,-0.09%,124500
2011-01-11,116.66000,116.84800,116.12000,116.58000,90.17300,0.33%,131700
2011-01-12,117.32000,117.71900,117.10000,117.62000,90.97700,0.89%,107300
2011-01-13,117.68000,117.74000,117.16000,117.46000,90.85400,-0.14%,96000
2011-01-14,117.30000,118.34000,117.26000,118.30000,91.50300,0.72%,193400
2011-01-18,118.26000,118.58000,118.04800,118.50000,91.65800,0.17%,194900
2011-01-19,118.44000,118.50000,117.02000,117.32000,90.74500,-1.00%,111900
2011-01-20,117.08000,117.38000,116.32100,117.17600,90.63400,-0.12%,103400
2011-01-21,117.90000,118.14000,117.32000,117.44000,90.83800,0.23%,117900
2011-01-24,117.40000,118.20000,117.38000,118.16000,91.39500,0.61%,455900
2011-01-25,117.80000,118.20000,117.20000,118.12000,91.36400,-0.03%,226500
2011-01-26,118.44000,118.94000,118.24000,118.74000,91.84400,0.52%,109200
2011-01-27,118.68000,119.09200,118.48000,118.90000,91.96700,0.13%,297200
2011-01-28,119.08000,119.22000,116.68000,116.80400,90.34600,-1.76%,891400
2011-01-31,117.22000,117.80000,116.93800,117.70000,91.03900,0.77%,140500
2011-02-01,118.48000,119.77200,118.38000,119.54000,92.46200,1.56%,147400
2011-02-02,119.24000,119.66000,119.24000,119.34000,92.30800,-0.17%,91000
2011-02-03,119.20000,119.80000,118.50000,119.64000,92.54000,0.25%,72200
2011-02-04,119.70000,120.02000,119.14000,119.96000,92.78700,0.27%,97000
2011-02-07,120.30000,121.12000,120.26000,120.71800,93.37400,0.63%,118000
2011-02-08,120.88000,121.30000,120.60000,121.28000,93.80800,0.47%,153500
2011-02-09,120.98000,121.28000,120.46400,120.98000,93.57600,-0.25%,139600
2011-02-10,120.40000,121.16000,120.16000,121.02000,93.60700,0.03%,125200
2011-02-11,120.60000,121.92000,120.56000,121.78000,94.19500,0.63%,149200
2011-02-14,121.72000,122.14000,121.58000,122.08000,94.42700,0.25%,92200
2011-02-15,121.72000,121.86000,121.38000,121.64800,94.09300,-0.35%,82100
2011-02-16,122.10000,122.60000,121.97200,122.42000,94.69000,0.63%,94300
2011-02-17,122.06000,122.96000,121.96000,122.88000,95.04600,0.38%,158200
2011-02-18,122.96000,123.22000,122.68000,123.08000,95.20100,0.16%,120800
2011-02-22,121.68000,122.38000,120.24000,120.56000,93.25100,-2.05%,288400
2011-02-23,120.50000,120.76000,119.10000,119.88000,92.72500,-0.56%,276000
2011-02-24,119.66000,120.15200,118.66000,119.76000,92.63300,-0.10%,241300
2011-02-25,120.34000,121.12000,120.20000,121.06000,93.63800,1.09%,106300
2011-02-28,121.54000,121.94000,121.16000,121.78000,94.19500,0.59%,208300
2011-03-01,122.28000,122.30000,119.70000,119.70000,92.58600,-1.71%,235300
2011-03-02,119.62000,120.56000,119.50000,120.04000,92.84900,0.28%,176300
2011-03-03,121.08000,122.23800,121.08000,122.10000,94.44300,1.72%,136400
2011-03-04,122.06000,122.06000,120.40000,121.20000,93.74600,-0.74%,168200
2011-03-07,121.60000,121.74800,119.60000,120.14000,92.92700,-0.87%,155200
2011-03-08,120.42000,121.61800,119.96000,121.26000,93.79300,0.93%,106300
2011-03-09,121.06000,121.38000,120.50000,121.12000,93.68500,-0.12%,116400
2011-03-10,119.88000,119.88000,118.76000,118.90000,91.96700,-1.83%,267800
2011-03-11,118.40000,120.14000,118.40000,119.70000,92.58600,0.67%,134300
2011-03-14,118.96000,119.26000,118.06600,119.00000,92.04500,-0.58%,146100
2011-03-15,115.82000,118.24000,115.62000,117.67800,91.02200,-1.11%,346800
2011-03-16,117.26000,117.56000,114.64000,115.44000,89.29100,-1.90%,339900
2011-03-17,117.14000,117.40000,116.24200,116.88000,90.40500,1.25%,176200
2011-03-18,118.40000,118.40000,117.14000,117.38000,90.79200,0.43%,127700
2011-03-21,118.84000,119.38000,118.68000,119.16000,92.16900,1.52%,136100
